PacketCounter;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw
00231;;;;;;;;;-0.074687;0.340249;-0.857728;-0.742541;-0.314549;-1.352993
00232;;;;;;;;;-0.074769;0.342410;-0.855656;-0.742249;-0.315358;-1.357524
00233;;;;;;;;;-0.070117;0.338167;-0.861921;-0.742156;-0.315307;-1.360513
00234;;;;;;;;;-0.074933;0.346736;-0.855744;-0.742691;-0.316594;-1.363877
00235;;;;;;;;;-0.072360;0.338128;-0.861918;-0.742549;-0.317198;-1.365471
00236;;;;;;;;;-0.077012;0.342371;-0.855653;-0.742736;-0.316416;-1.370054
00237;;;;;;;;;-0.077010;0.342374;-0.859884;-0.742367;-0.316573;-1.373764
00238;;;;;;;;;-0.077011;0.342373;-0.857769;-0.742526;-0.317244;-1.380045
00239;;;;;;;;;-0.079173;0.340169;-0.855607;-0.742487;-0.317664;-1.384235
00240;;;;;;;;;-0.077010;0.342374;-0.859884;-0.741986;-0.317845;-1.388495
00241;;;;;;;;;-0.072607;0.344616;-0.859934;-0.741533;-0.317690;-1.393568
00242;;;;;;;;;-0.072444;0.340288;-0.857731;-0.741435;-0.317688;-1.396577
00243;;;;;;;;;-0.081578;0.344458;-0.857806;-0.741918;-0.317141;-1.398368
00244;;;;;;;;;-0.070365;0.344653;-0.857821;-0.741797;-0.317147;-1.402641
00245;;;;;;;;;-0.067874;0.338207;-0.864040;-0.741590;-0.317077;-1.409252
00246;;;;;;;;;-0.070119;0.338164;-0.857691;-0.741889;-0.316801;-1.408359
00247;;;;;;;;;-0.079173;0.340169;-0.855607;-0.741691;-0.316627;-1.410447
00248;;;;;;;;;-0.074687;0.340249;-0.857728;-0.742551;-0.315878;-1.415939
00249;;;;;;;;;-0.074687;0.340247;-0.855613;-0.742794;-0.315804;-1.423333
00250;;;;;;;;;-0.072444;0.340288;-0.857731;-0.742475;-0.315894;-1.425098
00251;;;;;;;;;-0.070366;0.344652;-0.855706;-0.742419;-0.316677;-1.428853
00252;;;;;;;;;-0.070201;0.340327;-0.857734;-0.742749;-0.316746;-1.431966
00253;;;;;;;;;-0.072608;0.344614;-0.857818;-0.741803;-0.317315;-1.435162
00254;;;;;;;;;-0.074685;0.340252;-0.861959;-0.741797;-0.316799;-1.438454
00255;;;;;;;;;-0.072525;0.342453;-0.859890;-0.741871;-0.317178;-1.442469
00256;;;;;;;;;-0.077094;0.344534;-0.855697;-0.741253;-0.316896;-1.445997
00257;;;;;;;;;-0.077095;0.344533;-0.853582;-0.741440;-0.317570;-1.448290
00258;;;;;;;;;-0.074687;0.340247;-0.855613;-0.741956;-0.317447;-1.453525
00259;;;;;;;;;-0.070365;0.344653;-0.857821;-0.741396;-0.316966;-1.457287
00260;;;;;;;;;-0.068041;0.342529;-0.857781;-0.740877;-0.316444;-1.460387
00261;;;;;;;;;-0.076762;0.335888;-0.863984;-0.740852;-0.316495;-1.463110
00262;;;;;;;;;-0.072527;0.342449;-0.855659;-0.740500;-0.316738;-1.466392
00263;;;;;;;;;-0.072444;0.340288;-0.857731;-0.740713;-0.316280;-1.472358
00264;;;;;;;;;-0.074768;0.342412;-0.857772;-0.740216;-0.316404;-1.474594
00265;;;;;;;;;-0.074770;0.342409;-0.853541;-0.740642;-0.316258;-1.478025
00266;;;;;;;;;-0.070201;0.340327;-0.857734;-0.740978;-0.315931;-1.483293
00267;;;;;;;;;-0.074850;0.344575;-0.857816;-0.740934;-0.315784;-1.487623
00268;;;;;;;;;-0.074849;0.344577;-0.859931;-0.740495;-0.315657;-1.489451
00269;;;;;;;;;-0.074603;0.338089;-0.861915;-0.740390;-0.315181;-1.494310
00270;;;;;;;;;-0.072524;0.342454;-0.862005;-0.740127;-0.314535;-1.498469
00271;;;;;;;;;-0.072528;0.342448;-0.853544;-0.739447;-0.314461;-1.501322
00272;;;;;;;;;-0.070367;0.344650;-0.853591;-0.738825;-0.314660;-1.504955
00273;;;;;;;;;-0.074769;0.342410;-0.855656;-0.739173;-0.313936;-1.508071
00274;;;;;;;;;-0.072363;0.338123;-0.855572;-0.739551;-0.313919;-1.511149
00275;;;;;;;;;-0.068042;0.342528;-0.855665;-0.739926;-0.313556;-1.515437
00276;;;;;;;;;-0.072607;0.344616;-0.859934;-0.739799;-0.313924;-1.518738
00277;;;;;;;;;-0.074687;0.340249;-0.857728;-0.739587;-0.313780;-1.519754
00278;;;;;;;;;-0.070365;0.344653;-0.857821;-0.739052;-0.313423;-1.523622
00279;;;;;;;;;-0.072608;0.344614;-0.857818;-0.738728;-0.312586;-1.528109
00280;;;;;;;;;-0.070119;0.338164;-0.857691;-0.738709;-0.313240;-1.530006
00281;;;;;;;;;-0.076927;0.340213;-0.861956;-0.739198;-0.313746;-1.534249
00282;;;;;;;;;-0.072360;0.338128;-0.861918;-0.739328;-0.313894;-1.537640
00283;;;;;;;;;-0.067961;0.340363;-0.853507;-0.740384;-0.313483;-1.542940
00284;;;;;;;;;-0.072525;0.342453;-0.859890;-0.740187;-0.313284;-1.545108
00285;;;;;;;;;-0.074603;0.338089;-0.861915;-0.740242;-0.313801;-1.546391
00286;;;;;;;;;-0.074769;0.342410;-0.855656;-0.739989;-0.313043;-1.550347
